Cafe Name,Area/Location,Phone Number,Email Address,Notes,Status
Autumn Leaf Cafe,"Jubilee Hills, Road No 41",+91 40 2355 0986,,Renovated house with garden,New
Aaromale,"Jubilee Hills / Film Nagar",+91 40 2355 1221,,Cultural space,New
Sobremesa,"Jubilee Hills, Road No 52",+91 91214 49955,,Desserts and boutique baking,New
The Willow Bake Shop,"Banjara Hills, Road No 2",+91 95816 71118,,Small cozy whimsical decor,New
Sentido Coffee Brewers,"Jubilee Hills / Gachibowli",+91 73373 37275,,Specialty coffee roasters,New
Last House Coffee,Madhapur,,,Lake view hidden gem,New
Feu - Dessert Bar,"Jubilee Hills, Road No 1",+91 80084 11116,,Culinary studio upscale,New
Sage Farm Cafe,"Jubilee Hills, Road No 72",+91 98492 84000,,Farm-to-table organic,New
Feranoz,"Banjara Hills, Road No 14",+91 88863 33188,,Patisserie cafe aesthetic,New
Driven Cafe,Gachibowli,+91 98661 17272,,24/7 Automotive theme,New
Theory Cafe & Dessert Bar,"Jubilee Hills, Road No 45",+91 95505 06111,,Trendy location,New
Makobrew,"Jubilee Hills, Road No 45",+91 88860 03377,,Minimalist coffee bar,New
Comic Social,"Jubilee Hills, Road No 92",+91 76709 23886,,Comic book themed,New
Conçu,Jubilee Hills,+91 99858 00031,,High-end patisserie,New
Roast 24 Seven,Gachibowli,+91 89785 52255,,Large coffee house,New
"Example Cafe Name","Jubilee Hills","+91 00000 00000","example@gmail.com","Owner usually available in mornings","No Website"
"","","","","",""
"","","","","",""
